objectid,title,date,date-is-approximate?,creator,recipient,description,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,rights,rightsstatement,type,format,language,relation,display_template,object_location,identifier,image_small,image_thumb
gem001,SALARY SURVEY RESULTS AND RECOMMENDED PAY POLICY | FISCAL YEAR 1999,9/26/1997,,Idaho Personnel Commission,,"A report of the results of salary surveys and recommendations for changes in salaries,
 together with their estimated costs of implementation based on the competitive
 labor market average rate of each pay grade for Fiscal Year 1999.",multiple-page; document,Pay Policy;67-5309B(d);Idaho Code;Salaries;Recommendations,"Boise, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,ipc_salarysurvey_fy1999.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/ipc_salarysurvey_fy1999.pdf,ipc_salarysurvey_fy1999.pdf,/objects/small/ipc_salarysurvey_fy1999_sm.jpg,/objects/thumbs/ipc_salarysurvey_fy1999_th.jpg
gem002,SALARY SURVEY RESULTS AND RECOMMENDED PAY POLICY | FISCAL YEAR 1998,9/27/1996,,Idaho Personnel Commission,,"A report of the results of salary surveys and recommendations for changes in salaries,
 together with their estimated costs of implementation based on the competitive
 labor market average rate of each pay grade for Fiscal Year 1998.",multiple-page; document,Pay Policy;67-5309B(d);Idaho Code;Salaries;Recommendations,"Boise, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,ipc_salarysurvey_fy1998.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/ipc_salarysurvey_fy1998.pdf,ipc_salarysurvey_fy1998.pdf,/objects/small/ipc_salarysurvey_fy1998_sm.jpg,/objects/thumbs/ipc_salarysurvey_fy1998_th.jpg
gem003,SECTION 504 TECHNICAL ASSISTANCE HANDBOOK,5/24/1994,,"Idaho Department of Commerce (IDC); Idaho Community Development
 Block Grant (ICDBG)",,A handbook for communities that receive a block grant on how to navigate Section 504/ADA and IDC requirements.,multiple-page; document,ADA Compliance;Section 504;Handbook;Title II;Block Grants;Rehabilitation Act;Americans with Disabilities Act,"Boise, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idc_section504_handbook_1995.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idc_section504_handbook_1995.pdf,idc_section504_handbook_1995.pdf,/objects/small/idc_section504_handbook_1995_sm.jpg,/objects/thumbs/idc_section504_handbook_1995_th.jpg
gem004,STANDARDS AND PROCESS for Improving Idaho Elementary Schools 1992-1993,1992,yes,Idaho State Board of Education,,Written guidelines for how elementary schools in Idaho will be evaluated for their academic performance by the State Board of Education for 1992-1993.,multiple-page; document,Standards;Process;Elementary School;Evaluations;Education,"Boise, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,ide_improving_id_elementaries_1992_1993.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/ide_improving_id_elementaries_1992_1993.pdf,ide_improving_id_elementaries_1992_1993.pdf,/objects/small/ide_improving_id_elementaries_1992_1993_sm.jpg,/objects/thumbs/ide_improving_id_elementaries_1992_1993_th.jpg
gem005,Idaho Gypsy Moth Report 1999,11/01/1999,yes,Idaho Department of Lands,,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 1999.,multiple-page; document,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idl_gypsy_moth_1999.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idl_gypsy_moth_1999.pdf,idl_gypsy_moth_1999.pdf,/objects/small/idl_gypsy_moth_1999_sm.jpg,/objects/thumbs/idl_gypsy_moth_1999_th.jpg
gem006,Idaho Gypsy Moth Report 2000,11/01/2000,yes,Idaho Department of Lands,,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2000.,multiple-page; document,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idl_gypsy_moth_2000.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idl_gypsy_moth_2000.pdf,idl_gypsy_moth_2000.pdf,/objects/small/idl_gypsy_moth_2000_sm.jpg,/objects/thumbs/idl_gypsy_moth_2000_th.jpg
gem007,Idaho Gypsy Moth Report 2001,Nov-01,yes,Idaho Department of Lands,,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2001.,multiple-page; document,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idl_gypsy_moth_2001.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idl_gypsy_moth_2001.pdf,idl_gypsy_moth_2001.pdf,/objects/small/idl_gypsy_moth_2001_sm.jpg,/objects/thumbs/idl_gypsy_moth_2001_th.jpg
gem008,Idaho Gypsy Moth Report 2002,Dec-01,yes,Idaho Department of Lands,,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2002.,multiple-page; document,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idl_gypsy_moth_2002.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idl_gypsy_moth_2002.pdf,idl_gypsy_moth_2002.pdf,/objects/small/idl_gypsy_moth_2002_sm.jpg,/objects/thumbs/idl_gypsy_moth_2002_th.jpg
gem009,Idaho Gypsy Moth Report 2003,Dec-01,yes,Idaho Department of Lands,,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2003.,multiple-page; document,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idl_gypsy_moth_2003.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idl_gypsy_moth_2003.pdf,idl_gypsy_moth_2003.pdf,/objects/small/idl_gypsy_moth_2003_sm.jpg,/objects/thumbs/idl_gypsy_moth_2003_th.jpg
gem010,Idaho Gypsy Moth Report 2004,Dec-01,yes,Idaho Department of Lands,,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2004.,multiple-page; document,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,,Boise State University Idaho GEM Project,Albertsons Library,,idl_gypsy_moth_2004.pdf,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,,pdf,/objects/idl_gypsy_moth_2004.pdf,idl_gypsy_moth_2004.pdf,/objects/small/idl_gypsy_moth_2004_sm.jpg,/objects/thumbs/idl_gypsy_moth_2004_th.jpg
