objectid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript,,,,
gem001,SALARY SURVEY RESULTS AND RECOMMENDED PAY POLICY | FISCAL YEAR 1999,Idaho Personnel Commission,9/26/1997,"A report of the results of salary surveys and recommendations for changes in salaries,
 together with their estimated costs of implementation based on the competitive
 labor market average rate of each pay grade for Fiscal Year 1999.",Pay Policy;67-5309B(d);Idaho Code;Salaries;Recommendations,"Boise, ID",,,Albertsons Library,ipc_salarysurvey_fy1999.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/ipc_salarysurvey_fy1999.pdf,/objects/small/ipc_salarysurvey_fy1999_sm.jpg,/objects/thumbs/ipc_salarysurvey_fy1999_th.jpg,,,,,,
gem002,SALARY SURVEY RESULTS AND RECOMMENDED PAY POLICY | FISCAL YEAR 1998,Idaho Personnel Commission,9/27/1996,"A report of the results of salary surveys and recommendations for changes in salaries,
 together with their estimated costs of implementation based on the competitive
 labor market average rate of each pay grade for Fiscal Year 1998.",Pay Policy;67-5309B(d);Idaho Code;Salaries;Recommendations,"Boise, ID",,,Albertsons Library,ipc_salarysurvey_fy1998.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/ipc_salarysurvey_fy1998.pdf,/objects/small/ipc_salarysurvey_fy1998_sm.jpg,/objects/thumbs/ipc_salarysurvey_fy1998_th.jpg,,,,,,
gem003,SECTION 504 TECHNICAL ASSISTANCE HANDBOOK,"Idaho Department of Commerce (IDC); Idaho Community Development
 Block Grant (ICDBG)",5/24/1994,A handbook for communities that receive a block grant on how to navigate Section 504/ADA and IDC requirements.,ADA Compliance;Section 504;Handbook;Title II;Block Grants;Rehabilitation Act;Americans with Disabilities Act,"Boise, ID",,,Albertsons Library,idc_section504_handbook_1995.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idc_section504_handbook_1995.pdf,/objects/small/idc_section504_handbook_1995_sm.jpg,/objects/thumbs/idc_section504_handbook_1995_th.jpg,,,,,,
gem004,STANDARDS AND PROCESS for Improving Idaho Elementary Schools 1992-1993,Idaho State Board of Education,1992,Written guidelines for how elementary schools in Idaho will be evaluated for their academic performance by the State Board of Education for 1992-1993.,Standards;Process;Elementary School;Evaluations;Education,"Boise, ID",,,Albertsons Library,ide_improving_id_elementaries_1992_1993.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/ide_improving_id_elementaries_1992_1993.pdf,/objects/small/ide_improving_id_elementaries_1992_1993_sm.jpg,/objects/thumbs/ide_improving_id_elementaries_1992_1993_th.jpg,,,,,,
gem005,Idaho Gypsy Moth Report 1999,Idaho Department of Lands,11/01/1999,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 1999.,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,Albertsons Library,idl_gypsy_moth_1999.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idl_gypsy_moth_1999.pdf,/objects/small/idl_gypsy_moth_1999_sm.jpg,/objects/thumbs/idl_gypsy_moth_1999_th.jpg,,,,,,
gem006,Idaho Gypsy Moth Report 2000,Idaho Department of Lands,11/01/2000,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2000.,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,Albertsons Library,idl_gypsy_moth_2000.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idl_gypsy_moth_2000.pdf,/objects/small/idl_gypsy_moth_2000_sm.jpg,/objects/thumbs/idl_gypsy_moth_2000_th.jpg,,,,,,
gem007,Idaho Gypsy Moth Report 2001,Idaho Department of Lands,Nov-01,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2001.,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,Albertsons Library,idl_gypsy_moth_2001.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idl_gypsy_moth_2001.pdf,/objects/small/idl_gypsy_moth_2001_sm.jpg,/objects/thumbs/idl_gypsy_moth_2001_th.jpg,,,,,,
gem008,Idaho Gypsy Moth Report 2002,Idaho Department of Lands,Dec-01,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2002.,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,Albertsons Library,idl_gypsy_moth_2002.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idl_gypsy_moth_2002.pdf,/objects/small/idl_gypsy_moth_2002_sm.jpg,/objects/thumbs/idl_gypsy_moth_2002_th.jpg,,,,,,
gem009,Idaho Gypsy Moth Report 2003,Idaho Department of Lands,Dec-01,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2003.,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,Albertsons Library,idl_gypsy_moth_2003.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idl_gypsy_moth_2003.pdf,/objects/small/idl_gypsy_moth_2003_sm.jpg,/objects/thumbs/idl_gypsy_moth_20003_th.jpg,,,,,,
gem010,Idaho Gypsy Moth Report 2004,Idaho Department of Lands,Dec-01,An annual survey conduted by various state and federal agencies to detect the introduction of the gypsy moth into the state. This is the survey for 2004.,Gypsy Moth;Survey;Lymantria dispar L.;Ecology;Forest Service;Entomology,"Coeur d'Alene, ID",,,Albertsons Library,idl_gypsy_moth_2004.pdf,Text,application/pdf,eng,For educational and research use only. Copyright restrictions may apply. User is responsible for all copyright compliance. Please contact the Serials and Continuing Resources department at serials-admin@boisestate.edu for further information. Albertsons Library is not liable for any violations of the law by users.,http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,/objects/idl_gypsy_moth_2004.pdf,/objects/small/idl_gypsy_moth_2004_sm.jpg,/objects/thumbs/idl_gypsy_moth_2004_th.jpg,,,,,,
